Fasta, time,founder,unselected,contact_FDC,FDC_selected,contact_TC,TC_Selected_by_TC,recycled,apoptosis,affinity,std_affinity,Prueba,CB,CC,Pr,Apoptotic
lowP.fasta,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,Prueba,0,0,Pr,0
lowP.fasta,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945446E-08,0,Prueba,1,0,Pr,0
lowP.fasta,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945446E-08,0,Prueba,2,0,Pr,0
lowP.fasta,3.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945446E-08,0,Prueba,6,0,Pr,0
lowP.fasta,4.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945446E-08,0,Prueba,7,0,Pr,0
lowP.fasta,5.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945446E-08,0,Prueba,9,0,Pr,0
lowP.fasta,6.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,11,0,Pr,0
lowP.fasta,7.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,13,0,Pr,0
lowP.fasta,8.000000,17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,17,0,Pr,0
lowP.fasta,9.000000,19.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,19,0,Pr,0
lowP.fasta,10.000000,24.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,24,0,Pr,0
lowP.fasta,11.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,29,0,Pr,0
lowP.fasta,12.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,32,0,Pr,0
lowP.fasta,13.000000,37.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,37,0,Pr,0
lowP.fasta,14.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,40,0,Pr,0
lowP.fasta,15.000000,46.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945445E-08,0,Prueba,46,0,Pr,0
lowP.fasta,16.000000,52.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945446E-08,0,Prueba,52,0,Pr,0
lowP.fasta,17.000000,55.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945446E-08,0,Prueba,55,0,Pr,0
lowP.fasta,18.000000,66.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945447E-08,0,Prueba,66,0,Pr,0
lowP.fasta,19.000000,80.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945448E-08,0,Prueba,80,0,Pr,0
lowP.fasta,20.000000,85.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945448E-08,0,Prueba,85,0,Pr,0
lowP.fasta,21.000000,93.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945448E-08,0,Prueba,93,0,Pr,0
lowP.fasta,22.000000,103.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945448E-08,0,Prueba,103,0,Pr,0
lowP.fasta,23.000000,121.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945449E-08,0,Prueba,121,0,Pr,0
lowP.fasta,24.000000,133.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.054781677945449E-08,0,Prueba,133,0,Pr,0
lowP.fasta,25.000000,148.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.407332974900048E-08,2.471974005276881E-08,Prueba,148,0,Pr,0
lowP.fasta,26.000000,168.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.00528396713324E-08,3.547476969576463E-07,Prueba,168,0,Pr,0
lowP.fasta,27.000000,184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.933906833784461E-08,3.39582301709764E-07,Prueba,184,0,Pr,0
lowP.fasta,28.000000,206.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.121678853888916E-08,3.224839599819632E-07,Prueba,206,0,Pr,0
lowP.fasta,29.000000,222.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.097654174428011E-08,3.111738462118239E-07,Prueba,222,0,Pr,0
